track_id,playlist_id,added_week_id,removed_week_id
1556,25,97,104
1556,30,16,24
1558,6,75,
1559,12,27,
1560,6,93,98
1561,28,22,25
1562,17,77,82
1563,4,6,7
1564,11,43,51
1564,17,94,
1564,29,86,94
1566,22,93,
1567,4,12,
1574,13,52,55
1575,7,72,78
1575,17,74,
1575,27,51,
1576,24,78,
1578,7,38,
1579,7,79,
1579,27,61,
1581,30,72,
1582,2,10,
1582,19,85,
1584,1,32,38
1585,12,31,
1585,24,51,
1585,27,10,
1586,11,37,
1586,19,81,87
1586,21,66,
1587,27,76,
1588,26,46,54
1589,29,46,50
1590,4,34,
1590,8,15,21
1594,1,103,104
1594,30,52,
1595,15,26,31
1597,5,31,
1597,28,37,
1599,15,5,9
1600,1,91,97
1600,6,66,
1600,27,79,87
1601,16,7,10
1602,6,75,
1603,19,10,
1604,15,16,20
1605,1,68,69
1605,9,29,
